"full_name","spec_B","spec_T","spkid","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
"  2202 Pele (1972 RA)",,,20002202,2202,Pele,,Y,N,0,17.17,,,,,,,,,,,,,,,,,"JPL 163",2460600.5,60600,2024-10-17.0,J2000,0.5128,2.291,1.116,8.74,169.91,217.99,355.86,3.47,0.2843,2460615.08,2024-10-31.5,1.27e+03,3.47,0.144,55.9,2.01,3.4,3.6e-08,1.6e-09,8.3e-08,4.3e-06,1.5e-05,1.7e-05,4.1e-06,2.5e-09,3.0e-10,1.5e-05,1.3e-06,AMO,"Otto Matic",19031,1972-09-07,2024-10-15,917,,,0,.41827,,,,,,,,,
"  2212 Hephaistos (1978 SB)",,SG,20002212,2212,Hephaistos,,Y,N,0,13.51,,,,,,,5.7,,0.163,48,,0.766,0.397,,,,"JPL 672",2460600.5,60600,2024-10-17.0,J2000,0.8361,2.166,0.355,11.31,27.01,210.05,184.81,3.98,0.3091,2461167.29,2026-05-06.7,1.16e+03,3.19,0.113,44.1,1.15,3.1,1.0e-09,1.4e-09,2.3e-09,7.8e-08,3.8e-07,3.5e-07,5.8e-07,2.6e-09,3.0e-10,2.4e-06,1.1e-06,APO,"Otto Matic",16820,1978-09-27,2024-10-15,4281,,,0,.45784,,,,,,,,,
"  2329 Orthos (1976 WA)",,,20002329,2329,Orthos,,Y,N,0,14.58,,,,,,,,,,4.6473,,,,,,,"JPL 376",2460600.5,60600,2024-10-17.0,J2000,0.6533,2.41,0.836,24.46,169.28,146.05,325.99,3.99,0.2634,2460729.64,2025-02-23.1,1.37e+03,3.74,0.0931,36.2,1.71,3.1,6.0e-10,3.5e-09,1.3e-09,1.3e-07,1.6e-07,2.1e-07,1.4e-06,5.7e-09,5.7e-10,5.7e-06,2.9e-06,APO,"Otto Matic",17482,1976-05-31,2024-04-11,1981,,,0,.45722,,,,,,,,,
"  2340 Hathor (1976 UA)",Sq,CSU,20002340,2340,Hathor,,Y,Y,0,20.43,,,,,,,0.3,,,3.35,,0.770,0.500,,,,"JPL 62",2460600.5,60600,2024-10-17.0,J2000,0.4500,0.8438,0.464,5.86,211.29,40.10,53.40,1.22,1.272,2460558.50,2024-09-04.9,283,0.775,0.00669,2.61,3.81,6.88,3.6e-08,1.0e-09,3.1e-08,4.3e-06,1.4e-05,1.4e-05,6.4e-06,1.5e-09,2.3e-09,5.0e-06,5.0e-07,ATE,Giorgini,16477,1976-10-25,2021-12-05,572,4,3,0,.37471,,,,-3.0e-14,6.3e-16,,,,
"  2368 Beltrovata (1977 RA)",,SQ,20002368,2368,Beltrovata,,Y,N,0,15.15,,,,,,,2.3,,0.27,5.786,,0.830,0.520,,,,"JPL 395",2460600.5,60600,2024-10-17.0,J2000,0.4135,2.105,1.234,5.22,287.29,43.07,158.64,2.97,0.3228,2460109.09,2023-06-13.5,1.12e+03,3.05,0.232,90.5,2.41,3.63,2.6e-09,1.2e-09,5.6e-09,8.4e-08,6.6e-07,1.1e-06,1.4e-06,1.7e-09,2.7e-10,4.0e-06,9.5e-07,AMO,"Otto Matic",16999,1977-09-04,2024-03-20,2211,,,0,.52474,,,,,,,,,
"  2608 Seneca (1978 DA)",,S,20002608,2608,Seneca,,Y,N,0,17.48,,,,,,,0.9,,0.21,8,,0.826,0.454,,,,"JPL 24",2460600.5,60600,2024-10-17.0,J2000,0.5651,2.532,1.101,14.43,166.52,38.59,272.88,3.96,0.2447,2460956.56,2025-10-08.0,1.47e+03,4.03,0.155,60.3,1.13,3.17,1.1e-07,2.3e-08,2.7e-07,1.7e-05,3.3e-05,1.1e-04,1.9e-04,3.6e-08,3.4e-09,7.7e-04,2.0e-05,AMO,"Otto Matic",16284,1978-02-17,2022-09-18,83,,,1,.64986,,,,,,,,,
"  3102 Krok (1981 QA)",S,QRS,20003102,3102,Krok,,Y,N,0,16.17,,,,,,,1.6,,,149.4,,0.834,0.521,,,,"JPL 399",2460600.5,60600,2024-10-17.0,J2000,0.4493,2.151,1.185,8.44,172.05,154.77,241.78,3.12,0.3124,2460978.88,2025-10-30.3,1.15e+03,3.15,0.184,71.6,2.27,3.56,2.9e-09,7.2e-10,5.9e-09,5.7e-08,5.6e-07,6.5e-07,4.5e-07,1.0e-09,1.6e-10,1.6e-06,5.8e-07,AMO,"Otto Matic",15537,1981-08-21,2024-03-05,2561,,,0,.47923,,,,,,,,,
"  3103 Eger (1982 BB)",Xe,,20003103,3103,Eger,,Y,N,0,15.30,,,,,,,1.5,,0.64,5.7103,,0.732,0.235,,,,"JPL 833",2460600.5,60600,2024-10-17.0,J2000,0.3542,1.404,0.907,20.93,129.73,254.12,304.12,1.90,0.5924,2460694.82,2025-01-19.3,608,1.66,0.0799,31.1,3.71,4.61,6.0e-10,5.2e-10,9.5e-10,4.6e-08,1.1e-07,1.5e-07,8.4e-07,7.0e-10,3.3e-10,1.5e-06,3.4e-07,APO,"Otto Matic",15585,1982-01-21,2024-09-22,8370,1,3,0,.2869,,,,-5.1e-15,7.8e-16,,,,
"  3122 Florence (1981 ET3)",S,,20003122,3122,Florence,,Y,Y,2,14.10,,,,,,,4.9,,0.231,2.3581,,,,,,,"JPL 838",2460600.5,60600,2024-10-17.0,J2000,0.4231,1.769,1.021,22.14,336.05,27.90,0.67,2.52,0.4189,2460598.89,2024-10-15.3,859,2.35,0.0449,17.5,2.99,3.92,6.0e-10,4.5e-10,1.1e-09,5.2e-08,1.5e-07,1.7e-07,4.7e-07,6.4e-10,1.6e-10,1.1e-06,3.3e-07,AMO,"Otto Matic",16657,1979-03-09,2024-10-15,8847,6,0,0,.28584,,,,,,,,,
"  3199 Nefertiti (1982 RA)",Sq,S,20003199,3199,Nefertiti,,Y,N,0,15.03,,,,,,,2.2,,0.42,3.021,,0.895,0.418,,,,"JPL 428",2460600.5,60600,2024-10-17.0,J2000,0.2842,1.574,1.127,32.96,339.98,53.43,78.94,2.02,0.4989,2460442.26,2024-05-11.7,722,1.98,0.216,83.9,3.61,4.19,3.8e-09,2.0e-10,6.1e-09,1.1e-07,1.8e-07,8.3e-07,1.3e-06,2.6e-10,9.5e-11,2.6e-06,1.4e-07,AMO,"Otto Matic",14939,1982-09-13,2023-08-08,3774,0,1,0,.43562,,,,,,,,,
