"full_name","spec_B","spec_T","spkid","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
"  3200 Phaethon (1983 TB)",B,F,20003200,3200,Phaethon,,Y,Y,0,14.40,,,,,,,6.25,,0.1066,3.604,,,,,,0.15,"JPL 813",2460600.5,60600,2024-10-17.0,J2000,0.8898,1.271,0.140,22.31,265.10,322.31,248.98,2.40,0.6875,2460762.00,2025-03-27.4,524,1.43,0.0187,7.27,2.73,4.51,4.7e-10,6.7e-10,6.2e-10,9.4e-08,1.7e-07,1.5e-07,9.8e-07,1.3e-09,5.4e-10,1.6e-06,4.1e-07,APO,"Otto Matic",14962,1983-10-27,2024-10-13,7102,8,0,0,.34818,,,,-6.2e-15,3.6e-16,,,,
"  3271 Ul (1982 RB)",,,20003271,3271,Ul,,Y,N,0,16.58,,,,,,,,,,,,,,,,,"JPL 78",2460600.5,60600,2024-10-17.0,J2000,0.3956,2.102,1.270,25.07,158.81,159.08,304.61,2.93,0.3235,2460771.74,2025-04-06.2,1.11e+03,3.05,0.277,108,2.49,3.53,1.1e-07,2.2e-08,2.2e-07,9.0e-06,1.0e-05,5.9e-05,9.8e-05,3.0e-08,5.0e-09,3.1e-04,1.7e-05,AMO,"Otto Matic",15184,1982-09-14,2024-04-10,263,,,0,.55596,,,,,,,,,
"  3288 Seleucus (1982 DV)",K,S,20003288,3288,Seleucus,,Y,N,0,15.35,,,,,,,2.8,,0.22,75,,0.910,0.500,,,,"JPL 463",2460600.5,60600,2024-10-17.0,J2000,0.4549,2.035,1.109,5.93,218.61,349.35,241.11,2.96,0.3395,2460950.65,2025-10-02.1,1.06e+03,2.9,0.108,41.8,2,3.67,1.4e-09,1.4e-09,2.8e-09,9.0e-08,9.1e-07,8.3e-07,1.0e-06,2.0e-09,3.4e-10,3.3e-06,1.1e-06,AMO,"Otto Matic",15561,1982-02-28,2024-10-06,2599,,,0,.49449,,,,,,,,,
"  3352 McAuliffe (1981 CW)",A,,20003352,3352,McAuliffe,,Y,N,0,15.97,,,,,,,,,,2.206,,,,,,,"JPL 421",2460600.5,60600,2024-10-17.0,J2000,0.3691,1.879,1.185,4.77,107.33,16.07,347.84,2.57,0.3827,2460632.27,2024-11-17.7,941,2.58,0.204,79.3,2.52,3.88,2.4e-09,1.4e-09,4.4e-09,1.9e-07,2.4e-06,2.3e-06,1.2e-06,1.9e-09,4.3e-10,3.2e-06,1.1e-06,AMO,"Otto Matic",15955,1981-02-06,2024-10-13,2534,,,0,.45749,,,,,,,,,
"  3360 Syrinx (1981 VA)",,,20003360,3360,Syrinx,,Y,N,0,16.04,,,,,,,1.8,,0.17,,,,,,,,"JPL 137",2460600.5,60600,2024-10-17.0,J2000,0.7457,2.468,0.628,21.14,242.46,63.56,49.58,4.31,0.2542,2460405.44,2024-04-04.9,1.42e+03,3.88,0.106,41.2,1.77,2.96,6.7e-10,1.3e-09,1.6e-09,2.1e-07,3.6e-07,4.7e-07,6.4e-07,2.3e-09,2.0e-10,2.4e-06,1.1e-06,APO,"Otto Matic",15684,1981-11-04,2024-10-13,650,,,0,.51094,,,,,,,,,
"  3361 Orpheus (1982 HR)",,,20003361,3361,Orpheus,,Y,Y,0,19.56,,,,,,,0.3,,0.357,3.5327,,1.022,0.503,,,,"JPL 185",2460600.5,60600,2024-10-17.0,J2000,0.3229,1.21,0.820,2.66,188.68,302.34,24.54,1.60,0.7401,2460567.34,2024-09-13.8,486,1.33,0.0138,5.37,3.45,5.21,3.6e-08,1.9e-09,4.4e-08,2.3e-06,3.6e-05,3.6e-05,2.0e-06,2.5e-09,1.7e-09,2.7e-06,1.1e-06,APO,"Otto Matic",14651,1982-04-24,2022-06-04,2744,2,0,0,.2206,,,,1.9e-14,2.4e-15,,,,
"  3362 Khufu (1984 QA)",,,20003362,3362,Khufu,,Y,Y,0,18.52,,,,,,,0.7,,0.21,,,,,,,,"JPL 24",2460600.5,60600,2024-10-17.0,J2000,0.4685,0.9895,0.526,9.92,152.40,55.09,359.85,1.45,1.001,2460600.65,2024-10-17.1,360,0.984,0.0133,5.19,3.52,6.02,5.7e-07,1.2e-08,5.7e-07,1.2e-05,5.8e-05,4.8e-05,2.1e-04,1.8e-08,1.8e-08,2.1e-04,6.6e-06,ATE,"Otto Matic",7394,1984-08-30,2004-11-27,262,,,1,.6347,,,,,,,,,
"  3551 Verenia (1983 RD)",,V,20003551,3551,Verenia,,Y,N,0,16.72,,,,,,,0.9,,0.37,4.93,,0.839,0.481,,,,"JPL 131",2460600.5,60600,2024-10-17.0,J2000,0.4870,2.093,1.074,9.51,173.78,193.30,203.09,3.11,0.3256,2461082.45,2026-02-10.9,1.11e+03,3.03,0.0749,29.2,2.35,3.58,6.8e-08,1.1e-08,1.5e-07,4.7e-06,2.8e-05,3.5e-05,4.5e-05,1.7e-08,2.7e-09,1.4e-04,9.0e-06,AMO,"Otto Matic",14828,1983-09-07,2024-04-12,593,,,0,.59029,,,,,,,,,
"  3552 Don Quixote (1983 SA)",D,D,20003552,3552,"Don Quixote",,Y,N,0,13.05,,,,,,,19.0,,0.03,6.665,,,,,,,"JPL 285",2460600.5,60600,2024-10-17.0,J2000,0.7073,4.267,1.249,31.06,349.96,316.53,263.48,7.29,0.1118,2461463.74,2027-02-27.2,3.22e+03,8.81,0.342,133,0.428,2.32,2.7e-08,2.0e-08,1.2e-07,5.1e-06,8.7e-06,8.6e-06,4.9e-06,3.4e-08,7.9e-10,4.9e-05,2.3e-05,AMO,"Otto Matic",14821,1983-09-10,2024-04-08,1421,,,0,.45843,,,,,,,,,
"  3553 Mera (1985 JA)",,,20003553,3553,Mera,,Y,N,0,16.43,,,,,,,,,,3.1944,,,,,,,"JPL 273",2460600.5,60600,2024-10-17.0,J2000,0.3199,1.645,1.118,36.78,232.49,288.88,289.71,2.17,0.4673,2460750.91,2025-03-16.4,770,2.11,0.297,115,3.18,4.02,6.5e-09,9.0e-10,1.0e-08,1.8e-07,3.9e-07,9.6e-07,1.7e-06,1.2e-09,3.8e-10,3.8e-06,6.3e-07,AMO,"Otto Matic",14402,1985-05-11,2024-10-15,1591,,,0,.49972,,,,,,,,,
"  3554 Amun (1986 EB)",,,20003554,3554,Amun,,Y,N,0,15.91,,,,,,,3.341,,0.074,2.53001,,0.707,0.235,,,0.02,"JPL 265",2460600.5,60600,2024-10-17.0,J2000,0.2806,0.974,0.701,23.36,358.60,359.42,226.57,1.25,1.025,2460730.64,2025-02-24.1,351,0.961,0.253,98.4,4.19,6.11,3.3e-09,1.7e-10,3.3e-09,1.4e-07,2.2e-07,6.5e-07,1.3e-06,2.2e-10,2.7e-10,1.2e-06,9.3e-08,ATE,"Otto Matic",12044,1986-03-04,2019-02-23,1979,,,0,.51991,,,,,,,,,
"  3671 Dionysus (1984 KD)",Cb,,20003671,3671,Dionysus,,Y,Y,1,16.50,,,,,,,1.5,,0.16,2.7053,,,,,,,"JPL 210",2460600.5,60600,2024-10-17.0,J2000,0.5420,2.2,1.008,13.54,82.05,204.33,131.35,3.39,0.302,2460165.58,2023-08-09.0,1.19e+03,3.26,0.022,8.58,1.83,3.43,1.9e-08,1.1e-09,4.2e-08,4.0e-06,1.4e-05,1.6e-05,4.9e-06,1.6e-09,2.2e-10,1.6e-05,8.5e-07,APO,"Otto Matic",14475,1984-05-27,2024-01-13,1117,,,0,.38985,,,,,,,,,
"  3691 Bede (1982 FT)",Xc,,20003691,3691,Bede,,Y,N,0,14.95,,,,,,,4.3,,0.515,226.8,,,,,,,"JPL 714",2460600.5,60600,2024-10-17.0,J2000,0.2844,1.774,1.270,20.35,348.70,235.08,345.07,2.28,0.417,2460636.31,2024-11-21.8,863,2.36,0.353,137,2.83,3.98,9.4e-10,3.5e-10,1.7e-09,4.6e-08,1.1e-07,2.2e-07,4.2e-07,4.5e-10,1.2e-10,1.0e-06,2.5e-07,AMO,"Otto Matic",17839,1975-06-09,2024-04-11,7762,,,0,.31391,,,,,,,,,
"  3752 Camillo (1985 PA)",,,20003752,3752,Camillo,,Y,N,0,15.19,,,,,,,2.306,,0.210,37.846,,,,,,0.09,"JPL 476",2460600.5,60600,2024-10-17.0,J2000,0.3016,1.414,0.987,55.56,147.96,312.22,8.79,1.84,0.5864,2460585.52,2024-10-02.0,614,1.68,0.0799,31.1,3.38,4.24,3.8e-10,1.2e-10,5.2e-10,8.4e-08,9.9e-08,9.4e-08,1.8e-07,1.5e-10,7.2e-11,3.0e-07,7.6e-08,APO,"Otto Matic",17705,1976-01-28,2024-07-19,2947,4,4,0,.43706,,,,,,,,,
"  3753 Cruithne (1986 TO)",Q,,20003753,3753,Cruithne,,Y,N,0,15.44,,,,,,,2.071,,0.365,27.3099,,,,,,0.11,"JPL 276",2460600.5,60600,2024-10-17.0,J2000,0.5148,0.9978,0.484,19.80,126.19,43.88,308.80,1.51,0.9889,2460652.28,2024-12-07.7,364,0.997,0.0712,27.7,3.51,5.92,1.5e-08,1.7e-10,1.5e-08,5.8e-07,1.3e-06,1.4e-06,2.9e-06,2.5e-10,2.5e-10,2.9e-06,9.2e-08,ATE,"Otto Matic",18626,1973-10-17,2024-10-15,1521,,,0,.45245,,,,,,,,,
"  3757 Anagolay (1982 XB)",,S,20003757,3757,Anagolay,,Y,Y,0,19.02,,,,,,,0.5,,0.18,9.012,,0.859,0.522,,,,"JPL 57",2460600.5,60600,2024-10-17.0,J2000,0.4459,1.834,1.017,3.87,74.93,17.24,293.70,2.65,0.3967,2460767.65,2025-04-02.1,908,2.48,0.0372,14.5,2.58,3.9,4.2e-08,2.2e-09,7.7e-08,5.4e-06,6.0e-05,6.3e-05,1.3e-05,3.2e-09,7.3e-10,3.3e-05,1.7e-06,APO,"Otto Matic",15208,1982-12-14,2024-08-03,209,0,2,0,.71842,,,,,,,,,
"  3838 Epona (1986 WA)",,,20003838,3838,Epona,,Y,N,0,15.69,,,,,,,,,,2.3812,,,,,,,"JPL 218",2460600.5,60600,2024-10-17.0,J2000,0.7027,1.505,0.447,29.20,235.47,49.72,225.76,2.56,0.534,2460851.91,2025-06-25.4,674,1.85,0.159,62,2.88,4.13,5.7e-09,1.8e-09,8.7e-09,3.4e-07,6.9e-07,1.1e-06,4.1e-06,3.1e-09,9.6e-10,8.1e-06,1.2e-06,APO,"Otto Matic",13623,1986-11-30,2024-03-18,1516,,,0,.52988,,,,,,,,,
"  3908 Nyx (1980 PA)",V,V,20003908,3908,Nyx,,Y,N,0,17.45,,,,,,,1.0,,0.23,4.42601,,,,,,0.15,"JPL 252",2460600.5,60600,2024-10-17.0,J2000,0.4592,1.928,1.042,2.19,261.20,126.65,165.71,2.81,0.3682,2460150.50,2023-07-25.0,978,2.68,0.0564,22,2.65,3.78,1.9e-09,1.3e-09,3.9e-09,3.3e-07,9.0e-06,9.3e-06,2.0e-06,1.9e-09,3.8e-10,4.9e-06,1.0e-06,AMO,"Otto Matic",15998,1980-08-06,2024-05-25,2061,15,1,0,.4977,,,,1.0e-14,1.4e-15,,,,
"  3988 Huma (1986 LA)",,,20003988,3988,Huma,,Y,N,0,17.94,,,,,,,0.7,,,10.53,,,,,,,"JPL 151",2460600.5,60600,2024-10-17.0,J2000,0.3166,1.545,1.056,10.77,229.79,86.91,316.36,2.03,0.5135,2460685.50,2025-01-09.9,701,1.92,0.178,69.4,3.31,4.38,1.1e-08,2.0e-09,1.7e-08,3.5e-07,1.8e-06,2.5e-06,4.6e-06,2.6e-09,9.8e-10,9.1e-06,1.3e-06,AMO,"Otto Matic",13904,1986-06-04,2024-06-28,680,,,0,.536,,,,,,,,,
"  4015 Wilson-Harrington (1979 VA)",,CF,20004015,4015,Wilson-Harrington,,Y,Y,0,16.19,,,,,,,4,,0.05,3.5736,,0.666,0.279,,,0.50,"JPL 331",2460600.5,60600,2024-10-17.0,J2000,0.6312,2.626,0.968,2.80,266.73,95.52,181.75,4.28,0.2317,2461369.95,2026-11-25.4,1.55e+03,4.25,0.0429,16.7,1.22,3.08,2.4e-08,3.4e-09,6.4e-08,4.0e-06,6.8e-05,6.8e-05,2.3e-06,5.5e-09,4.5e-10,1.1e-05,3.0e-06,APO,"Otto Matic",27140,1949-11-19,2024-03-10,1514,,,0,.37033,,,,,,,,,
"  4034 Vishnu (1986 PA)",O,,20004034,4034,Vishnu,,Y,Y,0,18.49,,,,,,,0.42,,0.52,44.4,,,,,,,"JPL 138",2460600.5,60600,2024-10-17.0,J2000,0.4441,1.06,0.589,11.17,157.89,296.70,260.40,1.53,0.9037,2460710.71,2025-02-04.2,398,1.09,0.0195,7.6,3.69,5.7,4.4e-08,3.7e-09,4.7e-08,3.6e-06,1.8e-05,1.7e-05,1.3e-05,5.3e-09,4.7e-09,1.5e-05,2.1e-06,APO,"Otto Matic",13881,1986-08-02,2024-08-03,808,0,1,0,.40254,,,,-4.0e-14,5.3e-15,,,,
"  4055 Magellan (1985 DO2)",V,V,20004055,4055,Magellan,,Y,N,0,14.94,,,,,,,2.49,,0.31,7.475,,,,,,,"JPL 824",2460600.5,60600,2024-10-17.0,J2000,0.3261,1.82,1.227,23.25,164.82,154.38,267.34,2.41,0.4014,2460831.38,2025-06-04.8,897,2.46,0.24,93.3,3,3.89,6.6e-10,7.3e-10,1.1e-09,7.0e-08,1.9e-07,2.6e-07,9.1e-07,9.7e-10,2.4e-10,2.4e-06,5.4e-07,AMO,"Otto Matic",14325,1985-01-21,2024-04-11,10732,,,0,.29391,,,,,,,,,
"  4179 Toutatis (1989 AC)",Sk,,20004179,4179,Toutatis,,Y,Y,0,15.30,0.10,,,,,,5.4,1.70x2.03x4.26,0.405,176.,,,,,,,"JPL 645",2460600.5,60600,2024-10-17.0,J2000,0.6248,2.543,0.954,0.45,125.36,277.88,339.68,4.13,0.243,2460684.14,2025-01-08.6,1.48e+03,4.06,0.00649,2.53,1.3,3.14,3.8e-10,1.1e-09,8.2e-10,6.3e-08,1.1e-05,1.1e-05,3.7e-07,1.9e-09,1.6e-10,1.6e-06,1.0e-06,APO,"Otto Matic",33107,1934-02-10,2024-10-02,6798,33,28,0,.29205,,-7.4e-13,7.7e-14,-2.3e-14,4.0e-15,,,,
"  4183 Cuno (1959 LM)",Sq,,20004183,4183,Cuno,,Y,Y,0,14.16,,,,,,,3.651,,0.097,3.5595,,,,,,0.10,"JPL 654",2460600.5,60600,2024-10-17.0,J2000,0.6361,1.981,0.721,6.67,294.35,237.02,175.91,3.24,0.3536,2460102.94,2023-06-07.4,1.02e+03,2.79,0.0281,10.9,1.8,3.57,8.6e-10,1.6e-10,1.7e-09,7.0e-08,4.8e-07,5.3e-07,4.6e-07,2.6e-10,4.2e-11,1.3e-06,1.2e-07,APO,"Otto Matic",23868,1959-06-05,2024-10-09,3840,1,0,0,.43272,,,,,,,,,
"  4197 Morpheus (1982 TA)",Sq,,20004197,4197,Morpheus,,Y,N,0,14.98,,,,,,,1.8,,0.37,3.538,,,,,,,"JPL 201",2460600.5,60600,2024-10-17.0,J2000,0.7724,2.295,0.522,12.60,7.01,122.55,357.11,4.07,0.2835,2460610.68,2024-10-27.1,1.27e+03,3.48,0.0985,38.3,1.27,3.09,2.1e-08,2.1e-09,4.9e-08,3.9e-06,9.0e-06,9.6e-06,3.3e-06,3.6e-09,3.8e-10,1.2e-05,1.7e-06,APO,"Otto Matic",25596,1954-09-03,2024-10-01,1189,4,2,0,.46355,,,,,,,,,
"  4257 Ubasti (1987 QA)",,,20004257,4257,Ubasti,,Y,N,0,15.96,,,,,,,,,,4.4,,,,,,,"JPL 336",2460600.5,60600,2024-10-17.0,J2000,0.4683,1.647,0.876,40.72,169.15,278.94,160.95,2.42,0.4662,2460255.27,2023-11-06.7,772,2.11,0.171,66.7,3.37,3.91,6.8e-09,1.7e-09,1.1e-08,2.2e-07,1.1e-06,1.8e-06,3.4e-06,2.6e-09,7.4e-10,6.9e-06,1.2e-06,APO,"Otto Matic",13456,1987-08-23,2024-06-25,1705,,,0,.51361,,,,,,,,,
"  4341 Poseidon (1987 KF)",O,,20004341,4341,Poseidon,,Y,N,0,16.08,,,,,,,3.177,,0.054,6.262,,,,,,0.65,"JPL 178",2460600.5,60600,2024-10-17.0,J2000,0.6800,1.834,0.587,11.84,108.03,15.83,44.04,3.08,0.3968,2460489.51,2024-06-28.0,907,2.48,0.194,75.5,2.04,3.69,1.5e-09,2.4e-09,2.5e-09,3.6e-07,7.9e-07,6.0e-07,2.3e-06,4.1e-09,7.8e-10,5.5e-06,1.8e-06,APO,"Otto Matic",13304,1987-05-29,2023-10-31,900,,,0,.55184,,,,,,,,,
"  4401 Aditi (1985 TB)",,,20004401,4401,Aditi,,Y,N,0,16.12,,,,,,,1.801,,0.343,6.67,,,,,,0.54,"JPL 223",2460600.5,60600,2024-10-17.0,J2000,0.5633,2.584,1.128,26.63,22.78,68.15,133.50,4.04,0.2373,2460037.88,2023-04-03.3,1.52e+03,4.15,0.335,130,2.24,3.06,3.1e-09,1.4e-09,8.5e-09,4.5e-07,3.4e-07,9.8e-07,4.9e-07,2.2e-09,1.9e-10,1.8e-06,1.2e-06,AMO,"Otto Matic",13625,1985-10-14,2023-02-02,1318,,,0,.48928,,,,,,,,,
"  4450 Pan (1987 SY)",,,20004450,4450,Pan,,Y,Y,0,17.28,,,,,,,,,,56.48,,,,,,,"JPL 259",2460600.5,60600,2024-10-17.0,J2000,0.5866,1.443,0.596,5.52,311.70,291.94,192.17,2.29,0.5689,2460895.52,2025-08-08.0,633,1.73,0.0289,11.2,2.76,4.46,2.0e-08,2.6e-09,2.8e-08,3.3e-06,2.0e-05,1.9e-05,1.0e-05,4.2e-09,1.6e-09,1.9e-05,1.7e-06,APO,"Otto Matic",31367,1937-02-06,2022-12-24,1513,1,0,0,.436,,,,,,,,,
"  4486 Mithra (1987 SB)",,,20004486,4486,Mithra,,Y,Y,0,15.61,,,,,,,1.849,"2.35 x 1.65 x 1.44",0.297,67.5,,,,,,0.02,"JPL 364",2460600.5,60600,2024-10-17.0,J2000,0.6620,2.205,0.745,3.04,82.18,169.12,156.61,3.67,0.3009,2460080.09,2023-05-15.5,1.2e+03,3.28,0.0462,18,1.39,3.33,1.3e-08,7.9e-10,2.9e-08,1.5e-06,4.3e-05,4.3e-05,2.1e-06,1.3e-09,1.6e-10,6.6e-06,6.4e-07,APO,"Otto Matic",13460,1987-01-29,2023-12-06,1886,8,9,0,.39651,,,,,,,,,
"  4487 Pocahontas (1987 UA)",,,20004487,4487,Pocahontas,,Y,N,0,17.49,,,,,,,,,,,,,,,,,"JPL 188",2460600.5,60600,2024-10-17.0,J2000,0.2966,1.73,1.217,16.41,198.10,173.99,95.85,2.24,0.4331,2460379.17,2024-03-09.6,831,2.28,0.219,85.2,3.22,4.06,4.1e-08,3.5e-09,7.2e-08,4.6e-06,1.2e-05,1.4e-05,1.1e-05,4.5e-09,1.3e-09,2.4e-05,2.5e-06,AMO,"Otto Matic",13058,1987-09-24,2023-06-25,776,,,0,.4958,,,,,,,,,
"  4503 Cleobulus (1989 WM)",Sq,,20004503,4503,Cleobulus,,Y,N,0,15.82,,,,,,,,,,2.8164,,,,,,,"JPL 225",2460600.5,60600,2024-10-17.0,J2000,0.5247,2.703,1.285,2.51,45.94,76.25,287.79,4.12,0.2218,2460926.13,2025-09-07.6,1.62e+03,4.44,0.305,119,1,3.15,6.9e-09,2.8e-09,1.9e-08,1.4e-07,4.8e-06,5.4e-06,1.2e-06,4.3e-09,3.5e-10,5.9e-06,2.6e-06,AMO,"Otto Matic",15988,1980-12-30,2024-10-08,1397,,,0,.56073,,,,,,,,,
"  4544 Xanthus (1989 FB)",,,20004544,4544,Xanthus,,Y,N,0,17.38,,,,,,,1.3,,,37.65,,,,,,,"JPL 405",2460600.5,60600,2024-10-17.0,J2000,0.2501,1.042,0.781,14.14,23.95,333.83,354.50,1.30,0.9267,2460606.44,2024-10-22.9,388,1.06,0.173,67.4,4.14,5.83,2.4e-08,8.7e-10,2.5e-08,3.0e-06,6.9e-06,1.2e-05,1.5e-05,1.1e-09,1.2e-09,1.6e-05,4.9e-07,APO,"Otto Matic",12841,1989-03-30,2024-05-26,2392,0,1,0,.35981,,,,,,,,,
"  4581 Asclepius (1989 FC)",,,20004581,4581,Asclepius,,Y,Y,0,20.74,,,,,,,,,,8.008,,,,,,,"JPL 112",2460600.5,60600,2024-10-17.0,J2000,0.3570,1.023,0.658,4.92,180.20,255.38,212.12,1.39,0.9531,2460755.66,2025-03-21.1,378,1.03,0.00313,1.22,3.88,5.91,6.0e-08,5.1e-09,5.8e-08,2.5e-06,2.0e-05,2.0e-05,2.3e-05,7.0e-09,7.2e-09,2.5e-05,2.8e-06,APO,"Otto Matic",11706,1989-03-31,2021-04-18,424,2,2,0,.47405,,,,-3.6e-14,6.0e-15,,,,
"  4596 (1981 QB)",,,20004596,4596,,,Y,N,0,16.45,,,,,,,,,,2.49101,,,,,,,"JPL 128",2460600.5,60600,2024-10-17.0,J2000,0.5200,2.24,1.075,37.07,154.19,248.42,290.19,3.40,0.2941,2460837.87,2025-06-11.3,1.22e+03,3.35,0.297,115,2.88,3.22,5.5e-08,6.2e-09,1.2e-07,7.1e-06,9.5e-06,1.2e-05,1.2e-05,9.5e-09,1.2e-09,4.2e-05,5.1e-06,AMO,"Otto Matic",15718,1981-08-28,2024-09-09,930,,,0,.40877,,,,,,,,,
"  4660 Nereus (1982 DB)",Xe,,20004660,4660,Nereus,,Y,Y,0,18.75,,,,,,,0.33,,0.55,15.1749,,,,,,0.05,"JPL 277",2460600.5,60600,2024-10-17.0,J2000,0.3587,1.485,0.952,1.45,313.11,159.54,191.96,2.02,0.5446,2460909.06,2025-08-21.5,661,1.81,0.00367,1.43,3.11,4.5,6.4e-10,3.2e-09,3.0e-09,1.7e-07,9.1e-06,9.9e-06,1.4e-06,4.4e-09,1.8e-09,3.6e-06,2.2e-06,APO,"Otto Matic",15434,1981-09-30,2024-01-02,4994,20,17,0,.20923,,,,1.4e-14,6.6e-15,,,,
"  4688 (1980 WF)",V,QU,20004688,4688,,,Y,N,0,19.60,,,,,,,0.6,,0.18,,,0.930,0.463,,,,"JPL 71",2460600.5,60600,2024-10-17.0,J2000,0.5179,2.232,1.076,6.38,241.23,213.80,45.35,3.39,0.2955,2460447.02,2024-05-16.5,1.22e+03,3.34,0.109,42.2,1.86,3.44,4.0e-08,6.5e-09,9.0e-08,5.0e-06,2.8e-05,3.2e-05,6.9e-06,9.8e-09,1.3e-09,2.3e-05,5.3e-06,AMO,"Otto Matic",14739,1980-11-29,2021-04-07,332,,,0,.43788,,,,-3.8e-14,8.0e-15,,,,
"  4769 Castalia (1989 PB)",,,20004769,4769,Castalia,,Y,Y,0,17.43,,,,,,,1.4,,0.092,4.095,,,,,,,"JPL 147",2460600.5,60600,2024-10-17.0,J2000,0.4832,1.063,0.549,8.88,325.51,121.44,324.11,1.58,0.8992,2460640.41,2024-11-25.9,400,1.1,0.0205,7.98,3.67,5.68,2.6e-09,7.4e-10,2.4e-09,1.8e-07,1.1e-06,1.3e-06,3.2e-06,1.1e-09,9.4e-10,3.7e-06,4.2e-07,APO,"Otto Matic",12847,1989-08-01,2024-10-03,776,8,7,0,.64463,,,,-7.3e-15,6.7e-16,,,,
"  4947 Ninkasi (1988 TJ1)",Sq,,20004947,4947,Ninkasi,,Y,N,0,18.08,,,,,,,,,,21.1,,,,,,,"JPL 201",2460600.5,60600,2024-10-17.0,J2000,0.1685,1.37,1.139,15.65,215.43,192.93,144.57,1.60,0.6146,2460365.27,2024-02-24.7,586,1.6,0.15,58.3,3.78,4.77,3.7e-08,4.4e-09,5.1e-08,3.9e-06,9.1e-06,1.5e-05,1.7e-05,5.1e-09,3.0e-09,2.7e-05,2.8e-06,AMO,"Otto Matic",16577,1978-02-17,2023-07-08,835,,,0,.40257,,,,-3.3e-14,7.7e-15,,,,
"  4953 (1990 MU)",,,20004953,4953,,,Y,Y,0,14.93,,,,,,,,,,14.218,,,,,,,"JPL 360",2460600.5,60600,2024-10-17.0,J2000,0.6574,1.621,0.555,24.38,77.53,77.93,285.02,2.69,0.4774,2460757.54,2025-03-23.0,754,2.06,0.0259,10.1,2.73,3.98,1.6e-09,3.7e-10,2.5e-09,7.7e-08,2.2e-07,2.8e-07,5.0e-07,6.1e-10,1.6e-10,1.1e-06,2.6e-07,APO,"Otto Matic",18346,1974-07-21,2024-10-12,2815,0,2,0,.40988,,,,,,,,,
"  4954 Eric (1990 SQ)",S,,20004954,4954,Eric,,Y,N,0,12.55,,,,,,,10.8,,0.176,12.056,,,,,,,"JPL 798",2460600.5,60600,2024-10-17.0,J2000,0.4494,2.001,1.102,17.43,358.41,52.62,347.92,2.90,0.3481,2460635.20,2024-11-20.6,1.03e+03,2.83,0.194,75.6,2.7,3.66,6.1e-10,5.8e-10,1.2e-09,2.8e-08,1.2e-07,3.5e-07,5.1e-07,8.4e-10,1.5e-10,1.5e-06,4.5e-07,AMO,"Otto Matic",18028,1975-06-07,2024-10-15,5366,,,0,.39907,,,,,,,,,
"  4957 Brucemurray (1990 XJ)",S,,20004957,4957,Brucemurray,,Y,N,0,15.11,,,,,,,3.499,,0.132,2.892,,,,,,0.10,"JPL 201",2460600.5,60600,2024-10-17.0,J2000,0.2189,1.565,1.223,35.01,254.88,97.48,150.48,1.91,0.5033,2460301.50,2023-12-22.9,715,1.96,0.425,165,3.59,4.2,2.2e-09,2.1e-10,3.5e-09,6.2e-08,1.3e-07,6.0e-07,8.7e-07,2.6e-10,1.0e-10,1.7e-06,1.5e-07,AMO,"Otto Matic",17462,1976-03-11,2024-01-01,2171,,,0,.42967,,,,,,,,,
"  5011 Ptah (6743 P-L)",,,20005011,5011,Ptah,,Y,Y,0,16.70,,,,,,,,,,56.3,,,,,,,"JPL 157",2460600.5,60600,2024-10-17.0,J2000,0.5001,1.636,0.818,7.41,10.63,105.94,173.66,2.45,0.471,2460231.78,2023-10-14.2,764,2.09,0.0252,9.81,2.7,4.14,5.4e-08,6.8e-09,8.5e-08,3.9e-06,3.2e-05,3.2e-05,2.2e-05,1.0e-08,2.9e-09,4.4e-05,4.8e-06,APO,"Otto Matic",23011,1960-09-24,2023-09-25,639,,,0,.50553,,,,,,,,,
"  5131 (1990 BG)",S,,20005131,5131,,,Y,N,0,14.83,,,,,,,,,,37.2,,,,,,,"JPL 423",2460600.5,60600,2024-10-17.0,J2000,0.5692,1.486,0.640,36.44,110.34,135.87,358.09,2.33,0.5441,2460604.02,2024-10-20.5,662,1.81,0.274,107,3.02,4.21,5.0e-10,2.6e-10,7.9e-10,8.3e-08,1.3e-07,1.6e-07,3.6e-07,4.1e-10,1.4e-10,6.5e-07,1.7e-07,APO,"Otto Matic",16563,1978-12-06,2024-04-11,2662,,,0,.531,,,,,,,,,
